c_id,卡名(c_name),發卡銀行 bank,年費 annlfee,圖片(c_img),國外現金回饋 fcb,國內現金回饋 dcb,國外消費現金回饋備註 fcb_n,國內消費現金回饋備註 dcb_n,國外哩程累積 fma,國內哩程累積 dma,國外哩程累積備註 fma_n,國內哩程累積備註 dma_n,加油現金回饋 refuel_cb,加油優惠 refuel_dis,加油現金回饋備註 refuel_cb_n,加油優惠備註 refuel_dis_n,週末電影折扣 wkdmoviedis,平日電影折扣 moviedis,週末電影折扣備註 wkdmoviedis_n,平日電影折扣備註 moviedis_n,數位通路回饋上限 ditigalfb,網購回饋 onlinefb,數位通路回饋上限備註 ditigalfb_n,網購回饋備註 onlinefb_n,分期零利率 zeroins,最低可分期金額 minins,分期零利率備註 zeroins_n,最低可分期金額備註 minins_n,首刷里程回饋 mileagefb,首刷(類)現金回饋 cashfb,首刷里程回饋備註 mileagefb_n,首刷(類)現金回饋備註 cashfb_n,年收入下限 annual_income,類別 c_type
null,渣打銀行 現金回饋御璽卡,null,首年免年費,null,6.88%,6.88%,2020/03/31前新戶完成指定任務享最高6.88%現金回饋(上限$350)，消費滿1萬以上加送24吋行李箱,2020/03/31前新戶完成指定任務享最高6.88%現金回饋(上限$350)，消費滿1萬以上加送24吋行李箱,null,null,null,null,null,null,null,null,75折,75折,null,null,無限,0.0688,2020/03/31前新戶完成指定任務享最高6.88%現金回饋(上限$350),2020/03/31前新戶完成指定任務享最高6.88%現金回饋(上限$350),null,null,null,null,不適用,500,null,null,null,null
null,彰化銀行 My樂現金回饋卡,null,首年免年費,null,3%,3.50%,不限通路、無消費門檻、回饋無上限,國內0.5%+指定通路2.5%,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,不適用,不適用,null,null,null,null
null,花旗銀行 現金回饋PLUS卡,null,首年免年費,null,2%,3.50%,國外網站、海外指定國家實體商店(含原0.5%基本回饋),指定通路最高回饋,null,null,null,null,0.02,NT$1.2/ 公升,於加油站消費達門檻之現金回饋,於全國加油站自助加油天天降1.2元/公升,85折,6折,null,2D電影享 6 折， 3D、IMAX享 8 折,null,null,null,null,null,null,null,null,不適用,1500,null,null,null,null
