,卡名,年費,國內消費現金回饋,國內消費現金回饋備註,國外消費現金回饋,國外消費現金回饋備註,分期零利率,分期零利率回饋備註,最低可分期金額,最低可分期金額備註,加油現金回饋,加油現金回饋備註,加油優惠,加油優惠備註,國內哩程累積,國內哩程累積備註,國外哩程累積,國外哩程累積備註,首刷里程回饋,首刷里程回饋備註,首刷(類)現金回饋,國首刷(類)現金回饋備註,週末電影折扣,週末電影折扣備註,平日電影折扣,平日電影折扣備註,,數位通路回饋上限,數位通路回饋上限備註,網購回饋,網購回饋備註
32,元大銀行 富貴無限卡,"NT$20,000 ",2.20%,於指定百貨/量販店/代扣繳保費享1.2％,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
33,元大銀行 iCash樂享晶緻卡,"NT$3,000 ",2%,於國內消費,2%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
34,元大銀行 iPASS現賺御璽卡,"NT$3,000 ",2%,於國內消費達指定門檻；指定網路消費可享2%回饋,1.10%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
35,第一銀行 鈦金商旅卡,"NT$2,000 ",2%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
36,永豐銀行 現金回饋卡,"NT$3,000 ",2%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
37,日盛銀行 無限卡,"NT$5,000 ",2%,於國內消費,0.80%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
38,永豐銀行 雙幣卡,"NT$3,000 ",2%,於國內消費,0.67%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
39,國泰世華 現金回饋御璽卡 ,"NT$1,800 ",2%,一般國內消費享0.5%現金回饋，無通路限制、無級距門檻、無回饋上限,0.50%,一般國外消費享2%,,,,,,,,,,,,,,,,,,,,,,,,,
40,上海商銀 TeresaCard,"NT$1,200 ",2%,於國內消費,0.30%,於指定國家消費最高享2％回饋,,,,,,,,,,,,,,,,,,,,,,,,,
41,合作金庫 雙幣信用卡,"NT$1,800 ",2%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
42,臺灣企銀 故宮之友認同卡,"NT$2,400 ",2%,於國內消費,0.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
43,王道銀行 cama caf?聯名卡,首年免年費,1.80%,達門檻享一般國內消費1.3%,1.30%,達門檻於國外消費現金回饋,,,,,,,,,,,,,,,,,,,,,,,,,
44,王道銀行 FunNow聯名卡,NT$0 ,1.80%,達門檻於國內消費現金回饋,1.30%,達門檻於國外消費現金回饋,,,,,,,,,,,,,,,,,,,,,,,,,
