,卡名,年費,國內消費現金回饋,國內消費現金回饋備註,國外消費現金回饋,國外消費現金回饋備註,分期零利率,分期零利率回饋備註,最低可分期金額,最低可分期金額備註,加油現金回饋,加油現金回饋備註,加油優惠,加油優惠備註,國內哩程累積,國內哩程累積備註,國外哩程累積,國外哩程累積備註,首刷里程回饋,首刷里程回饋備註,首刷(類)現金回饋,國首刷(類)現金回饋備註,週末電影折扣,週末電影折扣備註,平日電影折扣,平日電影折扣備註,,數位通路回饋上限,數位通路回饋上限備註,網購回饋,網購回饋備註
150,台新銀行 大潤發/大買家聯名卡,NT$300 ,0%,於加油、餐廳類消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
151,元大銀行 樂遊卡,NT$600 ,0%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
152,兆豐銀行 悠遊聯名卡,NT$600 ,0%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
153,第一銀行 媚儷鈦金卡,"NT$1,200 ",0%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
154,高雄銀行 高雄going鈦金卡,"NT$2,600 ",0%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
155,玉山銀行 佐登妮絲聯名卡,"NT$3,000 ",0%,於國內消費,0.60%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
156,國泰世華 COSTCO聯名卡,"NT$1,800 ",0%,於COSTCO賣場外消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
157,渣打銀行 優先理財無限卡,首年免年費,0%,"代扣繳保險費單筆金額達NT$50,000，不含國外或外幣保單交易，享1%現金回饋無上限",0%,國外消費享6倍紅利 (一般刷卡消費每NT$10可獲得1點紅利積點),,,,,,,,,,,,,,,,,,,,,,,,,
158,玉山銀行 悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
159,玉山銀行 山隆優油卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
160,玉山銀行 統一時代icash聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
161,玉山銀行 中友百貨悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
162,玉山銀行 全國電子聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
163,玉山銀行 寶雅悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
164,玉山銀行 新東陽悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
165,玉山銀行 NISSAN悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
166,玉山銀行 賀寶芙悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
167,玉山銀行 麗寶悠遊聯名卡,首年免年費,0%,於國內網路購物、指定交通及國外消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
168,玉山銀行 Pi 拍錢包信用卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
169,玉山銀行 南山悠遊聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
170,玉山銀行 愛心卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
171,國泰世華 長榮聯名御璽卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
172,中國信託 中信兄弟聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
173,中國信託 Yahoo聯名卡,首年免年費,0%,ㄧ般消費回饋超贈點，於Yahoo購物最高享6%回饋,0%,ㄧ般消費回饋超贈點,,,,,,,,,,,,,,,,,,,,,,,,,
174,新光銀行 日本航空聯名卡,首年免年費,0%,於國內消費,0%,於日韓消費,,,,,,,,,,,,,,,,,,,,,,,,,
175,新光銀行 新光加油卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
176,新光銀行 義大世界聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
177,星展銀行 飛行鈦金卡,首年免年費,0%,於國內消費,0%, ,,,,,,,,,,,,,,,,,,,,,,,,,
178,渣打銀行 TheShoppingCard分期卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
179,渣打銀行 昇利卡(紅利回饋),首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
180,中國信託 秀泰聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
181,中國信託 中華電信聯名白金卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
182,花旗銀行 紅利悠遊卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
183,中國信託 蘭城新月廣場聯名卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
184,新光銀行 分期7卡,首年免年費,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
185,國泰世華 亞洲萬里通聯名里享卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
186,台新銀行 國泰航空鈦金卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
187,安泰銀行 分期卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
188,遠東商銀 New Century MC卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
189,遠東商銀 eTag 聯名卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
190,遠東商銀 華信航空聯名卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
191,華泰銀行 VISA旗艦卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
192,臺灣銀行 金采白金卡,NT$0 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
193,兆豐銀行 統一7-ELEVEn獅聯名卡,NT$0 ,0%, ,0%, ,,,,,,,,,,,,,,,,,,,,,,,,,
194,永豐銀行 SPORT卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
195,玉山銀行 ATT 4 Fun 悠遊聯名卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
196,第一銀行 由你分期卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
197,第一銀行 曼黛瑪璉聯名卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
198,第一銀行 大同寶寶聯名卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
199,中國信託 南紡購物中心聯名卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
200,台新銀行 PayEasy聯名卡,NT$300 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
201,新光銀行 美麗華百樂卡,NT$500 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
202,"國泰世華 亞洲萬里通聯名白金卡
",NT$588 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
203,玉山銀行 耐斯廣場NP聯名卡,NT$600 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
204,第一銀行 資生堂SHISEIDO聯名卡,NT$600 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
205,兆豐銀行 原子小金剛卡,NT$600 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
206,兆豐銀行 生活工場聯名卡,NT$600 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
207,元大銀行 新世代卡,NT$600 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
208,國泰世華 遠東SOGO悠遊聯名卡,NT$600 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
209,國泰世華 長榮聯名極致御璽卡,NT$800 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
210,中國信託 享想生活卡,NT$888 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
211,元大銀行 Life卡,NT$900 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
212,元大銀行 一番卡,NT$900 ,0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
213,聯邦銀行 全國加油聯名卡,"NT$1,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
214,聯邦銀行 Tiger City悠遊白金卡,"NT$1,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
215,聯邦銀行 聯邦旅遊卡,"NT$1,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
216,聯邦銀行 紅利卡,"NT$1,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
217,聯邦銀行 泰航聯名卡,"NT$1,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
218,聯邦銀行 凱撒飯店聯名卡,"NT$1,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
219,遠東商銀  C'est Moi我的卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
220,第一銀行 icash聯名卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
221,第一銀行 菁英御璽卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
222,第一銀行 尊榮白金卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
223,第一銀行 悠遊聯名卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
224,第一銀行 速邁樂聯名卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
225,第一銀行 Living Green綠活卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
226,華南銀行 LOVE晶緻悠遊聯名卡－寵愛紅卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
227,華南銀行 美饌紅利卡 ,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
228,華南銀行 優活YOHO晶緻卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
229,華南銀行 Scottish House 聯名卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
230,華南銀行 大甲媽祖認同卡,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
231,華南銀行 OPENPOINT超級點數聯名卡-Hello Kitty款,"NT$1,200 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
232,台北富邦 采盟聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
233,台北富邦 DHC聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
234,台北富邦 福華聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
235,台北富邦 國賓大飯店聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
236,台北富邦 麗嬰房聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
237,永豐銀行 美麗華卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
238,陽信銀行 享利白金卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
239,台北富邦 富邦悍將悠遊聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
240,中國信託 中油VIP聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
241,中國信託 MUJI無印良品聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
242,台北富邦 廣三SOGO聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
243,台北富邦 富利生活系列卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
244,台北富邦 台茂聯名卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
245,台新銀行 幸福加值卡,"NT$1,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
246,中國信託 酷玩卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
247,中國信託 勤美天地聯名晶緻卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
248,中國信託 漢神百貨聯名卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
249,中國信託 紅利御璽卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
250,中國信託 大葉高島屋百貨聯名卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
251,中國信託 大中華攜手飛聯名卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
252,美國運通 國泰航空信用卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
253,"國泰世華 亞洲萬里通聯名鈦商卡
","NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
254,國泰世華 eTag 聯名卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
255,國泰世華 雙幣卡,"NT$1,800 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
256,國泰世華 鈦金商務卡,"NT$1,800 ",0%, ,0%, ,,,,,,,,,,,,,,,,,,,,,,,,,
257,國泰世華 尊榮御璽卡,"NT$1,800 ",0%, ,0%, ,,,,,,,,,,,,,,,,,,,,,,,,,
258,中國信託 ANA晶緻聯名卡 ,"NT$2,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
259,聯邦銀行 美華泰聯名卡,"NT$2,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
260,花旗銀行 新世代花旗饗樂生活悠遊卡,"NT$2,400 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
261,台新銀行 國泰航空翱翔鈦金卡,"NT$2,400 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
262,國泰世華 長榮聯名無限卡,"NT$2,400 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
263,花旗銀行 寰旅世界悠遊卡 ,"NT$2,400 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
264,永豐銀行 保倍卡,"NT$3,000 ",0%,於國內消費,0%,外幣消費享「1%現金回饋」無上限，2019/3/31前同時參加【外幣刷永豐優惠活動】，最高可享4%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
265,玉山銀行 統領百貨悠遊聯名卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
266,玉山銀行 華歌爾悠遊聯名卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
267,兆豐銀行 歐付寶悠遊聯名卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
268,永豐銀行 科士威聯名卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
269,美國運通 簽帳金卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
270,美國運通 新加坡航空天宇信用卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
271,永豐銀行 MITSUI OUTLET PARK卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
272,台北富邦 商務卡,"NT$3,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
273,星展銀行 飛行世界卡,"NT$3,600 ",0%, ,0%, ,,,,,,,,,,,,,,,,,,,,,,,,,
274,美國運通 長榮航空簽帳金卡,"NT$5,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
275,中國信託 鼎極卡,"NT$5,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
276,中國信託 ANA極緻聯名卡,"NT$6,600 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
277,"國泰世華 亞洲萬里通聯名世界卡
","NT$8,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
278,聯邦銀行 大立無限卡,"NT$8,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
279,美國運通 信用白金卡,"NT$8,500 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
280,華南銀行 The ONE 尊榮無限卡,"NT$12,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
281,台新銀行 國泰航空世界卡,"NT$20,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
282,國泰世華 長榮聯名極致無限卡,"NT$20,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
283,國泰世華 世界卡,"NT$20,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
284,花旗銀行 Citi Prestige,"NT$24,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
285,美國運通 長榮航空簽帳白金卡,"NT$35,000 ",0%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
286,玉山銀行 玉山Only卡,首年免年費,不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
287,玉山銀行 弘安藥粧聯名卡,首年免年費,不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
288,玉山銀行 臺北南山廣場聯名卡,首年免年費,不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
289,玉山銀行 大江聯名卡,首年免年費,不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
290,玉山銀行 蘭城新月聯名卡,首年免年費,不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
291,玉山銀行 啄木鳥悠遊聯名卡,NT$300 ,不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
292,國泰世華 白金卡,"NT$1,800 ",不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
293,美國運通 簽帳卡,"NT$1,800 ",不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
294,美國運通 信用金卡,"NT$2,400 ",不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
295,凱基銀行 無限卡,"NT$5,000 ",不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
296,美國運通 國泰航空尊尚信用卡,"NT$5,000 ",不適用, ,不適用, ,,,,,,,,,,,,,,,,,,,,,,,,,
